0,1,2,3,4,5
0.888888889,0.597890152,0.386904762,0.61764706,0.411475198,0.46511148
0.888888889,0.596851445,0.414285714,0.635294118,0.436195862,0.420328448
0.888888889,0.596851445,0.414285714,0.635294118,0.436195862,0.420328448
0.888888889,0.597117917,0.386904762,0.61764706,0.410867341,0.466250417
0.888888889,0.597117917,0.386904762,0.61764706,0.410867341,0.466250417
0.888888889,0.578252275,0.45,0.717647058,0.488796655,0.342385448
0.888888889,0.598887154,0.407142857,0.635294118,0.425119158,0.444495115
0.888888889,0.597890152,0.386904762,0.61764706,0.411475198,0.46511148
0.888888889,0.599932384,0.407142857,0.623529412,0.430303592,0.425502537
0.888888889,0.601862469,0.380952381,0.607843137,0.403224727,0.496476199
0.666666667,0.605371733,0.464285715,0.635294118,0.457939352,0.48574394
0.888888889,0.583329979,0.1875,0.338235293,0.194372857,0.711440896
0.777777778,0.612024699,0.169642858,0.235294117,0.167815053,0.774626799
0.666666667,0.552665567,0.077380953,0.137254901,0.074225234,0.853358488
0.777777778,0.609877433,0.446428571,0.441176471,0.547669969,0.201169761
0.777777778,0.627544496,0.401785714,0.705882354,0.389768182,0.600774114
0.888888889,0.613700569,0.221428572,0.164705882,0.237355081,0.651561034
0.777777778,0.603857997,0.178571429,0.242647059,0.179564216,0.738306905
0.888888889,0.583329979,0.1875,0.338235293,0.194372857,0.711440896
0.888888889,0.550634341,0.428571428,0.411764706,0.418725585,0.687691213
0.777777778,0.66292211,0.267857143,0.279411764,0.267484237,0.615900425
1,0.579921029,0.349206349,0.490196078,0.339696434,0.692014974
0.777777778,0.578907266,0.267857143,0.235294117,0.266199243,0.628681063
0.777777778,0.57125993,0.404761905,0.392156863,0.368715052,0.558591181
0.777777778,0.57125993,0.404761905,0.392156863,0.368715052,0.558591181
0.222222222,0.53857451,0.428571428,0,0.345253303,0.658937855
0.777777778,0.576170758,0.278571428,0.258823529,0.278090425,0.574310904
0.888888889,0.598593528,0.035714286,0.117647058,0.043814435,0.816886501
0.666666667,0.57144959,0.404761905,0.392156863,0.368704576,0.558712813
0.777777778,0.578907266,0.267857143,0.235294117,0.266199243,0.628681063
0.888888889,0.592781477,0,0.058823529,0.003989488,0.792268069
0.777777778,0.575364752,0.316964286,0.441176471,0.314070667,0.647262171
1,0.770495847,0.375,0.558823529,0.349415965,0.730189761
0.888888889,0.784465973,0.314285715,0.482352941,0.320918585,0.505059059
0.777777778,0.638102534,0.392857143,0.529411765,0.362827772,0.885573635
0.888888889,0.616744987,0.294642857,0.352941177,0.2713376,0.680055415
0.888888889,0.616744987,0.294642857,0.352941177,0.2713376,0.680055415
0.777777778,0.658896445,0.625,0.529411765,0.605439033,0.427771043
0.777777778,0.626624446,0.428571428,0.529411765,0.402193881,0.79899592
0.555555556,0.62590429,0.392857143,0.529411765,0.362279479,0.883857448
0.888888889,0.784465973,0.314285715,0.482352941,0.320918585,0.505059059
0.888888889,0.784465973,0.314285715,0.482352941,0.320918585,0.505059059
0.777777778,0.611535487,0.428571428,0.529411765,0.384108739,0.934627726
0.777777778,0.632505405,0.392857143,0.529411765,0.353006852,0.955459501
0.777777778,1,0.339285714,0.450980392,0.318925964,0.639904916
0.777777778,0.716430162,0.314285715,0.294117646,0.335327431,0.573217527
0.777777778,0.716430162,0.314285715,0.294117646,0.335327431,0.573217527
0.666666667,0.585808488,0.478571429,0.54117647,0.484122798,0.440952852
0.888888889,0.365276731,0.264285714,0.270588235,0.278623517,0.585322171
0.777777778,0.889436281,0.339285714,0.323529412,0.370732277,0.490865792
0.888888889,0.390762832,0.271428572,0.294117646,0.285906662,0.586833163
0.777777778,1,0.339285714,0.450980392,0.318925964,0.639904916
0.888888889,0.783167678,0.279761904,0.294117646,0.286502433,0.619013878
0.777777778,0.563888053,0.166666667,0.352941177,0.213802661,0.584412064
0.777777778,0.56359265,0.166666667,0.352941177,0.20954191,0.59431763
0.888888889,0.604181273,0.270408164,0.37815126,0.317910936,0.497118642
0.666666667,0.596976479,0.397959184,0.394957982,0.3870988,0.501294942
0.888888889,0.598824159,0.285714286,0.411764706,0.329133135,0.523347573
0.888888889,0.595358169,0.392857143,0.676470588,0.444069092,0.389657977
0.777777778,0.602516529,0.267857143,0.448529411,0.312793443,0.503532505
0.777777778,0.607591969,0.260204082,0.352941177,0.296970071,0.568521794
0.666666667,0.601772566,0.386904762,0.392156863,0.363046983,0.528789608
0.888888889,0.604181273,0.270408164,0.37815126,0.317910936,0.497118642
0.666666667,0.620057992,0.336734694,0.31092437,0.342038376,0.577960132
0.777777778,0.550478936,0.035714286,0.235294117,0,0.860837176
0.888888889,0.649156334,0.321428571,0.352941177,0.280937314,0.665204657
0.555555556,0.604353095,0.416666666,0.294117646,0.44387503,0.529204881
0.666666667,0.583977596,0.464285715,0.666666666,0.462406075,0.469348539
0.666666667,0.583977596,0.464285715,0.666666666,0.462406075,0.469348539
0.555555556,0.612326444,0.275510204,0.210084034,0.284218269,0.621274212
0.666666667,0.591524201,0.375,0.323529412,0.40090429,0.575776419
0.777777778,0.601121286,0.369047619,0.058823529,0.394751818,0.463405409
0.666666667,0.651558354,0.375,0.367647059,0.40682468,0.535108381
0.555555556,0.604353095,0.416666666,0.294117646,0.44387503,0.529204881
0.888888889,0.592414429,0.357142858,0.058823529,0.431162009,0.305413844
0.666666667,0.621422728,0.357142858,0.411764706,0.405924904,0.451053863
0.555555556,0.648295262,0.357142858,0.352941177,0.387852208,0.483945187
0.555555556,0.690566918,0.413265306,0.563025211,0.43720023,0.384811296
0.555555556,0.690793677,0.470238095,0.637254903,0.491717124,0.380991105
0.888888889,0.896836399,0.260204082,0.512605042,0.249674979,0.589924641
0.666666667,0.593290852,0.2,0.141176471,0.17462363,0.750686005
0.555555556,0.735380992,0.476190476,0.637254903,0.497165189,0.368774164
0.444444444,0.60989224,0.3,0.482352941,0.306832958,0.612684591
0.555555556,0.669441598,0.470238095,0.637254903,0.492476299,0.378438675
0.555555556,0.690566918,0.413265306,0.563025211,0.43720023,0.384811296
0.666666667,0.690595038,0.226190476,0.431372549,0.225803793,0.678010342
0.555555556,0.635563804,0.5625,0.838235295,0.550186936,0.461571725
0.444444444,0.681634647,0.491071429,0.705882354,0.457326858,0.579694291
0.666666667,0.614827274,0.571428572,0.794117648,0.519000528,0.535721923
0.666666667,0.614827274,0.571428572,0.794117648,0.519000528,0.535721923
0.666666667,0.583977596,0.464285715,0.666666666,0.462406075,0.469348539
